,id,x,y,z,i,j,k,degree,to_remove
2343,0.0,260.0,357.95716689756796,32.65986323710904,52.0,71.59143337951359,1.0886621079036347,3.0,False
2383,1.0,240.0,392.5981830489455,32.65986323710904,48.0,78.5196366097891,1.0886621079036347,3.0,False
2384,2.0,280.0,392.5981830489455,32.65986323710904,56.0,78.5196366097891,1.0886621079036347,4.0,False
2425,3.0,260.0,427.239199200323,32.65986323710904,52.0,85.4478398400646,1.0886621079036347,2.0,False
4229,4.0,260.0,334.86315612998294,65.31972647421809,52.0,66.9726312259966,2.1773242158072694,2.0,False
4269,5.0,200.0,369.50417228136047,65.31972647421809,40.0,73.9008344562721,2.1773242158072694,2.0,False
4270,6.0,240.0,369.50417228136047,65.31972647421809,48.0,73.9008344562721,2.1773242158072694,4.0,False
4271,7.0,280.0,369.50417228136047,65.31972647421809,56.0,73.9008344562721,2.1773242158072694,8.0,False
4310,8.0,220.0,404.145188432738,65.31972647421809,44.0,80.8290376865476,2.1773242158072694,7.0,False
4311,9.0,260.0,404.145188432738,65.31972647421809,52.0,80.8290376865476,2.1773242158072694,11.0,False
4312,10.0,300.0,404.145188432738,65.31972647421809,60.0,80.8290376865476,2.1773242158072694,4.0,False
4352,11.0,240.0,438.7862045841155,65.31972647421809,48.0,87.75724091682311,2.1773242158072694,4.0,False
4353,12.0,280.0,438.7862045841155,65.31972647421809,56.0,87.75724091682311,2.1773242158072694,2.0,False
5949,13.0,180.0,138.56406460551017,97.97958971132712,36.0,27.712812921102035,3.265986323710904,4.0,False
5950,14.0,220.0,138.56406460551017,97.97958971132712,44.0,27.712812921102035,3.265986323710904,2.0,False
6000,15.0,600.0,173.20508075688772,97.97958971132712,120.0,34.64101615137754,3.265986323710904,3.0,False
6038,16.0,460.0,207.84609690826525,97.97958971132712,92.0,41.56921938165305,3.265986323710904,2.0,False
6078,17.0,440.0,242.4871130596428,97.97958971132712,88.0,48.49742261192856,3.265986323710904,3.0,False
6117,18.0,340.0,277.12812921102034,97.97958971132712,68.0,55.42562584220407,3.265986323710904,3.0,False
6157,19.0,320.0,311.7691453623979,97.97958971132712,64.0,62.353829072479584,3.265986323710904,4.0,False
6158,20.0,360.0,311.7691453623979,97.97958971132712,72.0,62.353829072479584,3.265986323710904,5.0,False
